,name,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
56,Disgusting,rap,0.678,0.768,6,-5.801,1,0.254,0.00404,0,0.0845,0.643,94.974,audio_features,2xXfwMRGzpeKv00Gj98U9Y,spotify:track:2xXfwMRGzpeKv00Gj98U9Y,https://api.spotify.com/v1/tracks/2xXfwMRGzpeKv00Gj98U9Y,https://api.spotify.com/v1/audio-analysis/2xXfwMRGzpeKv00Gj98U9Y,199933,4
57,Relaxation,rap,0.807,0.624,11,-10.81,1,0.306,0.0225,0,0.0807,0.91,97.98,audio_features,2qabq416Bbt3cqapZM0l5y,spotify:track:2qabq416Bbt3cqapZM0l5y,https://api.spotify.com/v1/tracks/2qabq416Bbt3cqapZM0l5y,https://api.spotify.com/v1/audio-analysis/2qabq416Bbt3cqapZM0l5y,240187,4
58,Tic Tac Toe,rap,0.647,0.832,2,-6.55,1,0.0868,0.00553,4.74e-05,0.306,0.525,156.053,audio_features,7jTE4CZeNFsrQmm12ZKOk0,spotify:track:7jTE4CZeNFsrQmm12ZKOk0,https://api.spotify.com/v1/tracks/7jTE4CZeNFsrQmm12ZKOk0,https://api.spotify.com/v1/audio-analysis/7jTE4CZeNFsrQmm12ZKOk0,252280,4
59,ThirstMail (Skit),rap,0.695,0.905,9,-8.727,1,0.44,0.812,0,0.337,0.693,119.92,audio_features,7cfGOBHG6XIphYDEZ2cUS2,spotify:track:7cfGOBHG6XIphYDEZ2cUS2,https://api.spotify.com/v1/tracks/7cfGOBHG6XIphYDEZ2cUS2,https://api.spotify.com/v1/audio-analysis/7cfGOBHG6XIphYDEZ2cUS2,96053,4
60,The Spotlight,rap,0.668,0.892,6,-8.408,0,0.245,0.0995,0,0.366,0.605,112.995,audio_features,4PwKzv7TK7IVbspqvBH7WL,spotify:track:4PwKzv7TK7IVbspqvBH7WL,https://api.spotify.com/v1/tracks/4PwKzv7TK7IVbspqvBH7WL,https://api.spotify.com/v1/audio-analysis/4PwKzv7TK7IVbspqvBH7WL,187813,4
61,Life of a Don,rap,0.566,0.777,6,-6.935,0,0.35,0.0688,0,0.0727,0.51,110.891,audio_features,1wLdeK6bXXO1T59h92RMbr,spotify:track:1wLdeK6bXXO1T59h92RMbr,https://api.spotify.com/v1/tracks/1wLdeK6bXXO1T59h92RMbr,https://api.spotify.com/v1/audio-analysis/1wLdeK6bXXO1T59h92RMbr,195467,5
62,We Get High,rap,0.784,0.682,1,-7.601,1,0.0592,0.163,0.000942,0.287,0.573,118.992,audio_features,32oyRkIrQN604ecrv8aNf8,spotify:track:32oyRkIrQN604ecrv8aNf8,https://api.spotify.com/v1/tracks/32oyRkIrQN604ecrv8aNf8,https://api.spotify.com/v1/audio-analysis/32oyRkIrQN604ecrv8aNf8,258920,4
63,Numbers,rap,0.641,0.701,1,-7.806,1,0.122,0.0218,0,0.155,0.486,80.045,audio_features,4xzWDEyhBLlHvAzfKJvEwq,spotify:track:4xzWDEyhBLlHvAzfKJvEwq,https://api.spotify.com/v1/tracks/4xzWDEyhBLlHvAzfKJvEwq,https://api.spotify.com/v1/audio-analysis/4xzWDEyhBLlHvAzfKJvEwq,240133,4
64,500 Days of Summer,rap,0.447,0.848,2,-8.702,1,0.171,0.154,0,0.116,0.173,87.116,audio_features,5Cy8jSc32yGUmU7cSXlbL5,spotify:track:5Cy8jSc32yGUmU7cSXlbL5,https://api.spotify.com/v1/tracks/5Cy8jSc32yGUmU7cSXlbL5,https://api.spotify.com/v1/audio-analysis/5Cy8jSc32yGUmU7cSXlbL5,224947,4
65,What You Want,rap,0.493,0.492,10,-8.12,0,0.216,0.248,2.68e-06,0.111,0.78,92.695,audio_features,6GlZYESkrQqRbMTizUqxeh,spotify:track:6GlZYESkrQqRbMTizUqxeh,https://api.spotify.com/v1/tracks/6GlZYESkrQqRbMTizUqxeh,https://api.spotify.com/v1/audio-analysis/6GlZYESkrQqRbMTizUqxeh,234947,4
66,Do Ya Like,rap,0.656,0.648,4,-8.105,0,0.1,0.0805,0,0.136,0.333,80.014,audio_features,3fxZJ6b6fhrtiF2q32UEcX,spotify:track:3fxZJ6b6fhrtiF2q32UEcX,https://api.spotify.com/v1/tracks/3fxZJ6b6fhrtiF2q32UEcX,https://api.spotify.com/v1/audio-analysis/3fxZJ6b6fhrtiF2q32UEcX,216467,4
67,Aye Girl,rap,0.503,0.723,1,-8.936,0,0.281,0.0648,0,0.0756,0.46,170.944,audio_features,2eQ1FfhvIG2aCVX9SJACpP,spotify:track:2eQ1FfhvIG2aCVX9SJACpP,https://api.spotify.com/v1/tracks/2eQ1FfhvIG2aCVX9SJACpP,https://api.spotify.com/v1/audio-analysis/2eQ1FfhvIG2aCVX9SJACpP,251187,4
68,Young Sinatra III,rap,0.668,0.701,11,-8.594,0,0.277,0.0855,0,0.153,0.683,90.467,audio_features,4t04YglTH0rxx1RUojy6nl,spotify:track:4t04YglTH0rxx1RUojy6nl,https://api.spotify.com/v1/tracks/4t04YglTH0rxx1RUojy6nl,https://api.spotify.com/v1/audio-analysis/4t04YglTH0rxx1RUojy6nl,225853,4
69,All Sinatra Everything,rap,0.44,0.823,8,-8.914,0,0.337,0.0131,0,0.245,0.661,175.937,audio_features,2N0cHfwh4oORV14hv9kHty,spotify:track:2N0cHfwh4oORV14hv9kHty,https://api.spotify.com/v1/tracks/2N0cHfwh4oORV14hv9kHty,https://api.spotify.com/v1/audio-analysis/2N0cHfwh4oORV14hv9kHty,303227,4
